"CommentID","UserDisplayName","CommentBody","CreateDate","Recommendations"
"18890211","Betsy Rich","My Dutch baby did not pouf the first time I made it.  Then I remembered that successful Yorkshire pudding requires room temperature ingredients.  So my 2nd Dutch Baby was made with ingredients at room temperature and- poof- I got plenty of pouf, even at altitude in the mountains of Colorado.","1508877252","2554"
"18316019","KW","Banana Baby!  Have a surplus of bananas, so sliced 4 into the hot butter (used an extra T of butter), sprinkled on about 2T turbinado sugar, left sugar out of the batter.  Puffed up gorgeous, done in 18 minutes.   Served with brandied cranberries left over from holidays to offset sweet bananas.  Happy breakfast! Gets a rare 5 stars from here.","1508873727","1387"
"22170385","dutchroo","For my 12 cast iron skillet, this didn't make enough. I've adjusted the amounts as follows:<br/>4 eggs<br/>3/4 cup flour<br/>3/4 cup milk<br/>1 1/2 tbsp sugar<br/>... and the rest I kept the same.","1506865587","1357"
"18675003","Helen","A German pancake is a regular easy main for dinner for my spouse and me. My recipe has no sugar and two eggs; adding a third egg as in this recipe gives it more poof and a bit more custard. Mixing with a whisk is easier than using a blender that requires a scrape or two to incorporate all the flour. We find the pancake comes out of the pan more easily if it's rested for a couple of minutes after it comes out of the oven: it shrinks away from the pan and doesn't collapse.","1508875155","1153"
"18454722","Mar","I put some apple slices with sugar and cinnamon with the butter until the apples are golden brown and then I add the batter. Then to the oven.<br/>Pure heaven.","1508875277","1041"
"19327552","Lynnie","Whoops, added blueberries to melted butter, then added batter.  Blueberries swam to the edge of the pan, and as it started to rise, blueberries started jumping overboard onto the floor of the oven.  All of those sad little burnt blueberries - I'm sure I will remember them for months.  Every time I turn the over on.","1508880282","825"
"24074697","Michael Hamilton","*Ingredients at room temperature.<br/>*Heat the skillet, add the butter, let it melt, then add the batter.<br/>*Use three eggs, 2½ tbls of butter.<br/>*Only add sugar AFTER cooking.<br/>*¼ tsp cinnamon and vanilla added to batter.<br/>*The classic topping is lemon and powdered sugar.<br/>*Whisk by hand all ingredients except the milk, until smooth, and then whisk while slowly adding the milk. More puff.<br/>*Bread flour better for puffiness.<br/>*I cook 20 minutes at 425 degrees, shut off the oven and let it sit 5 minutes.","1508764322","612"
"18465585","Jim","Out west we sometimes prefer a breakfast bread without sugar. Skip the sugar and add some diced jalapenos or green chili and at the end add some grated cheese. Super both ways","1508875246","611"
"18518850","LarryPDX","I used to make these allot, but weren't as puffy as the one's at the ""original: original pancake house , here in Portland, UNTIL I found a recipe that said to use BREAD flour.  That recipe used 1/4 teaspoon of vanilla & cinnamon instead of nutmeg & sugar.  Lemon & powder sugar for topping.<br/><br/>Oh, it also pre-heated skillet, tilt pan to coat pan with butter, then add batter all at once and return to oven. for 15 to 20 min, until puffed and golden brown.","1508875488","493"
"19758730","Julie","It's super important to have room temperature ingredients to get that poof. Added some vanilla extract to the batter and ate it with warmed cinnamon apple slices and maple syrup. Only half the butter is necessary, 4 tbsps is overkill. It's delicious and comes together in no time at all, will definitely be repeating this.","1508884133","421"
"23911908","Nancy","The butter would melt, per these instructions, way before the skillet heated properly. Heat the skillet, THEN add the butter, let it melt, then add the batter.","1506885745","375"
"18671820","Jan","This is similar to my Swedish grandmother's savory recipe: Sauté 4 or 5 slices of chopped bacon until crisp. Arrange in 8X8 baking pan with some of the fat spread around to coat the bottom. Place in 425 oven. Combine 1 1/2  c milk, 3/4 c flour, 4 eggs, pinch of salt in blender. Process til well combined. Pour over hot bacon and return to oven til puffed and brown, about 30 min. Great with lingonberries. Cranberry sauce is also good; kids may prefer applesauce.","1508874987","264"
"16934695","Jill -","Made with unsweetened coconut milk, Bob's Red Mill Gluten Free 1:1 Baking Flour, Smart Balance and a tsp of vanilla extract.  Easy recipe and tasty.","1509378644","235"
"19575592","Pete","Since my waffle iron died this has become the go-to Sunday brunch for my wife and I. My only change to date is a little shot of Sonoma Syrup's vanilla crush. Using bread or high gluten flour seems to give better results also. The last five minutes at 300 degrees seemed a waste of effort - my oven barely drops 10 degrees in 5 minutes. I cook 20 minutes at 425 degrees, shut off the oven and let it sit 5 minutes while I set the table. Perfect every time.","1508882880","231"
"18683737","weelittlebird","A+<br/>Used stoneware pie plate. Worked beautifully. Put pie plate in cold oven with butter until hit 425 & butter slightly sizzling.<br/>Poured in batter.<br/>Baked at 425 for 18min then turned oven off & let it sit in there another 6min! (Turned off oven when getting very brown on the top edge & didn't want it to burn.)<br/>Served with maple syrup & powdered sugar.<br/>Oven pancakes have such great flavor & texture bc of the high egg/low flour ratio. Much preffer to griddled pancakes.","1508875866","200"
"17592618","Adriana","I have made these twice, with stellar results.  Sprinkled with confectioners sugar, topped with sliced berries or mixed fruit and drizzled with syrup and topped with whipped cream makes for a Wow! Breakfaster.  And it is so much easier than regular pancakes.  (I made them with regular All Purpose flour once and with fluten free flour the other time and both were superb.)","1508870596","165"
"18465857","GladBlu","Can this recipe be doubled and use a 14"" cast iron skillet?","1508876239","164"
"17823393","Meredith","Excellent with a bit of citrus zest, or if one leaves out the sugar, cooked in tallow or lard and served with a roast instead.","1508871486","154"
"18465213","Linda Law","This is really an English Yorkshire pudding made with an extra egg.  It's traditionally eaten with roast beef but everyone who eats the leftovers in the UK knows how good it is with jam on it too!","1508875156","145"
"18470710","MFF","I've made this for years -- and drizzle  a lemon sauce (fresh lemon combined with confectioners sugar)  over the pancake as soon as it comes out of the oven.","1508875084","140"
"18467280","Patricia","I have this. For more. Than 30 years from an recipe in Sunset Magazine with slightly different proportions:  for each egg use 1/4 c milk and 2 T melted butter.  Always used the 3-egg recipe.  Sometimes used apples as described here but in summer added blueberries after adding batter to the pan.  A big family favorite -- one of sons would make  an entire one for himself on school holidays (at age 8 I would hear him in the kitchen).","1508875030","131"
"18822958","mj","Another terrifically easy, very fungible recipe. I've made it sweet and savory. Much like a pizza you can add nearly anything to make a quick meal. I've tried asparagus and capers, mushrooms and Parmesan, lemon and sugar... nearly anything you can dream up can be added for a quick meal.","1508877950","117"
